year,maker,model,color,trans,drivet,mileage,price,body_code
2016,Toyota,Avalon XLE,Black,Automatic,FWD,36213,18810,20211
2016,Mercedes-Benz,C 300,Black,Automatic,RWD,31606,22980,20211
2018,Dodge,Charger R/T 392,Black,Automatic,RWD,24131,36999,20211
2017,Nissan,Altima 2.5 SV,Black,CVT,FWD,31976,14350,20211
2016,Hyundai,Sonata Hybrid SE,White,Automatic,FWD,39145,14789,20211
2016,Kia,Optima LX Turbo,White,Automatic,FWD,27439,16789,20211
2016,Kia,Cadenza SX Limited,Gray,Automatic,FWD,31302,19700,20211
2017,Alfa,Romeo Giulia Ti,Black,Automatic,RWD,29003,27790,20211
2014,Nissan,Altima 3.5 SL,Gray,CVT,FWD,132910,8982,20211
2015,Mercedes-Benz,S 550,Silver,Automatic,RWD,60869,41995,20211
2017,Hyundai,Elantra SE,Red,Automatic,FWD,29580,13558,20211
2016,Mercedes-Benz,C300 4MATIC,Silver,Automatic,AWD,18393,27391,20211
2017,Chevrolet,Malibu 1LT,Other,Automatic,FWD,86068,10599,20211
2018,Chevrolet,Malibu LT,Silver,Automatic,FWD,44964,13999,20211
2017,Lincoln,Continental Reserve,Gold,Automatic,FWD,25745,32000,20211
2016,Maserati,Quattroporte S,Other,Automatic,RWD,26779,44991,20211
2019,Genesis,G70 2.0T Advanced,Gray,Automatic,RWD,2451,34998,20211
2019,Lexus,ES 300h,White,CVT,FWD,5486,42488,20211
2017,Genesis,G90 3.3T Premium,Gray,Automatic,RWD,38669,38000,20211
2018,Chevrolet,Impala 1LT,Black,Automatic,FWD,29875,17249,20211
2015,Nissan,Altima 2.5 S,Gray,CVT,FWD,71349,11599,20211
2016,Nissan,Altima 2.5,Silver,CVT,FWD,109732,11000,20211
2017,Volkswagen,Passat 1.8T R-Line w/Comfort,Silver,Automatic,FWD,16577,17989,20211
2015,Kia,K900 Luxury,White,Automatic,RWD,64501,18489,20211
2013,Cadillac,XTS Premium,White,Automatic,FWD,33640,19990,20211
2013,Honda,Civic EX,Gray,Automatic,FWD,125472,8950,20211
