year,maker,model,color,trans,drivet,mileage,price,body_code
2016,Mercedes-Benz,C 300 Sport,Silver,Automatic,RWD,34308,26288,20211
2015,Audi,A3 1.8T Premium,Black,Automatic,FWD,53865,16998,20211
2017,Audi,A4 2.0T Prestige,Black,Automatic,AWD,28446,31998,20211
2014,Subaru,Legacy 2.5i Premium,Blue,CVT,AWD,77187,11996,20211
2014,Subaru,Legacy 2.5i Premium,Blue,CVT,AWD,77187,11996,20211
2014,Hyundai,Elantra Limited,Gray,Automatic,FWD,71821,10998,20211
2018,Toyota,Camry LE,Green,Automatic,FWD,9397,21881,20211
2019,Toyota,Camry LE,Black,Automatic,FWD,12501,21495,20211
2016,Cadillac,CT6 3.6L Platinum,Gray,Automatic,AWD,34999,39890,20211
2017,Hyundai,Elantra Limited,White,Automatic,FWD,35999,14900,20211
2016,Kia,Optima Hybrid Base,White,Automatic,FWD,38180,15750,20211
2015,BMW,535 i,Black,Automatic,RWD,50460,21250,20211
2017,Acura,TLX V6 w/Advance Package,Black,Automatic,AWD,25646,27988,20211
2015,Acura,TLX V6,Black,Automatic,FWD,29967,21500,20211
2016,Audi,A4 2.0T Premium,Gray,CVT,FWD,34138,18999,20211
2016,INFINITI,Q50 Hybrid Base,Gray,Automatic,RWD,29170,27995,20211
2016,Nissan,Altima 2.5 SR,White,CVT,FWD,34873,15488,20211
2017,Chevrolet,Malibu 1LT,Blue,Automatic,FWD,33214,15295,20211
2016,Jaguar,XF 35t Prestige,White,Automatic,RWD,32051,24250,20211
2016,Volkswagen,CC 2.0T Sport,Black,Automanual,FWD,21126,16295,20211
2018,Nissan,Altima 2.5 SV,Gray,CVT,FWD,44589,14550,20211
2016,Honda,Civic LX,Red,CVT,FWD,35728,15283,20211
2012,Mercedes-Benz,E 350,Black,Automatic,RWD,54664,15891,20211
2005,Volvo,S40 2.4i,Blue,Other,Unknown,58662,6995,20211
2008,Honda,Civic LX,Blue,Automatic,FWD,94261,7995,20211
2009,Toyota,Camry SE,White,Automatic,FWD,45330,11895,20211
2015,Chevrolet,Malibu 1LT,Gray,Automatic,FWD,109402,9987,20211
2008,Toyota,Camry Hybrid,Beige,CVT,FWD,84494,9991,20211
2015,Hyundai,Sonata ECO,White,Automatic,FWD,46382,12888,20211
2017,Mercedes-Benz,E 300 Sport,Green,Automatic,RWD,28448,34982,20211
2016,Mercedes-Benz,C 300,Silver,Automatic,RWD,24445,25881,20211
2017,Mercedes-Benz,E 300 Sport,White,Automatic,RWD,33341,33984,20211
2016,BMW,535 i,White,Automatic,RWD,22280,29998,20211
2016,BMW,535 i,Black,Automatic,RWD,30755,28998,20211
2018,Toyota,Avalon XLE,Gray,Automatic,FWD,37483,18790,20211
2017,Hyundai,Sonata Base,Red,Automatic,FWD,38199,12842,20211
2005,Acura,TSX,White,Automatic,FWD,145867,4975,20211
2016,Honda,Accord LX,White,CVT,FWD,50344,15988,20211
2017,Cadillac,CT6 2.0L Turbo Standard,White,Automatic,RWD,7787,33200,20211
2017,Honda,Accord Hybrid EX-L,White,CVT,FWD,8052,25900,20211
2017,Hyundai,Sonata Base,Silver,Automatic,FWD,80165,12200,20211
2017,Cadillac,CT6 2.0L Turbo Luxury,White,Automatic,RWD,16979,36600,20211
2014,INFINITI,Q50 Hybrid Premium,Gray,Automatic,RWD,83889,18100,20211
2017,Ford,Taurus Limited,Silver,Automatic,FWD,40759,14483,20211
2017,Toyota,Camry LE,Red,Automatic,FWD,50400,16450,20211
2018,Dodge,Charger Daytona,White,Automatic,RWD,38640,37888,20211
2015,INFINITI,Q70 3.7,Black,Automatic,RWD,49281,24888,20211
2014,Chrysler,200 LX,White,Automatic,FWD,85703,9998,20211
2017,Honda,Accord Hybrid Touring,White,CVT,FWD,21834,26998,20211
2014,Lexus,GS 350 Base,White,Automatic,RWD,83224,20888,20211
2015,Chrysler,300 Limited,Red,Automatic,RWD,56546,15491,20211
2016,Dodge,Charger R/T,Gray,Automatic,RWD,16771,27609,20211
2016,Lexus,IS 200t Base,Gray,Automatic,RWD,21627,28480,20211
2016,Mercedes-Benz,C300 Sport,Silver,Automatic,RWD,22806,24984,20211
2016,Toyota,Camry 4-DOOR SE SEDAN,Silver,Automatic,FWD,29671,17998,20211
2017,Honda,Civic EX-L,Black,CVT,FWD,22570,19488,20211
2016,Honda,Accord LX,Red,CVT,FWD,24348,15876,20211
2016,Ford,Fiesta SE,White,Automatic,FWD,51623,8500,20211
2017,Honda,Accord Sport,Black,CVT,FWD,35017,20000,20211
2015,Ford,Fusion Energi Titanium,White,CVT,FWD,80258,13300,20211
2017,Toyota,Corolla SE,Silver,CVT,FWD,42899,15400,20211
2016,Toyota,Corolla LE,Green,CVT,FWD,73196,13900,20211
2011,INFINITI,G37 Journey,Gray,Automatic,RWD,104768,12000,20211
2015,Nissan,Sentra SL,Black,CVT,FWD,27825,13900,20211
2019,Hyundai,Elantra SEL,Silver,Automatic,FWD,23177,14472,20211
2015,Ford,Focus SE,Brown,Automatic,FWD,88102,8688,20211
2018,Mazda,Mazda6 Signature,White,Automatic,FWD,3525,27750,20211
2014,BMW,320 i,White,Automatic,RWD,41118,14945,20211
2011,Mercedes-Benz,C 300,Silver,Automatic,RWD,69296,11605,20211
2017,Subaru,WRX Premium,White,Manual,AWD,38348,21570,20211
2012,Audi,A4 2.0T Premium,Black,CVT,FWD,57418,12030,20211
2014,Toyota,Corolla LE Plus,Red,CVT,FWD,43110,13040,20211
2017,Nissan,Altima 2.5 SL,Silver,CVT,FWD,33595,15988,20211
2018,Dodge,Charger Daytona,Black,Automatic,RWD,20637,38488,20211
2018,Kia,Optima LX,White,Automatic,FWD,30470,14572,20211
2014,Dodge,Charger SXT,Silver,Automatic,RWD,37993,18985,20211
2018,Acura,TLX V6 A-Spec,Blue,Automatic,FWD,22783,30881,20211
2014,Audi,A4 2.0T Premium Plus quattro,Gray,Automatic,AWD,56297,18998,20211
2013,Volkswagen,Jetta S,Brown,Automatic,FWD,21911,10998,20211
2016,Mercedes-Benz,S 550,White,Automatic,RWD,22780,58995,20211
2016,BMW,550 i,Black,Automatic,RWD,18721,38995,20211
2013,Volkswagen,Passat 2.0 TDI SE,Blue,Automanual,FWD,54735,12691,20211
2017,Toyota,Corolla L,Black,CVT,FWD,25148,16491,20211
2017,Honda,Accord Sport,Red,CVT,FWD,26550,19500,20211
2017,Mazda,Mazda3 Sport,Gray,Automatic,FWD,37735,14800,20211
2018,Nissan,Altima 2.5 SL,Silver,CVT,FWD,39064,15498,20211
2018,Chevrolet,Malibu LT,White,Automatic,FWD,42446,15999,20211
2011,Toyota,Corolla LE,Silver,Automatic,FWD,177380,5499,20211
2015,Mitsubishi,Lancer Evolution GSR,White,Manual,AWD,34611,27900,20211
2017,Lincoln,Continental Reserve,Gold,Automatic,FWD,25745,32000,20211
2015,Cadillac,XTS Premium,White,Automatic,FWD,39785,26200,20211
2016,Mercedes-Benz,CLS 550,Red,Automatic,AWD,18400,47910,20211
2017,Dodge,Charger SRT Hellcat,Blue,Automatic,RWD,22882,52210,20211
2015,Audi,A6 3.0 TDI Premium Plus,Blue,Automatic,AWD,29538,24700,20211
2014,Nissan,Altima 2.5 SV,Black,CVT,FWD,54333,14320,20211
2014,BMW,535 i,Silver,Other,Unknown,41267,22450,20211
2014,Mercedes-Benz,E 350 Sport,White,Automatic,RWD,48985,22000,20211
2017,Dodge,Charger R/T,Black,Automatic,RWD,27406,26970,20211
2014,BMW,328 i xDrive,Blue,Automatic,AWD,30960,19720,20211
2013,Toyota,Camry SE,White,Automatic,FWD,65476,14550,20211
2014,Toyota,Corolla LE,Brown,CVT,FWD,66091,11750,20211
2017,Honda,Accord Sport,White,CVT,FWD,15372,22090,20211
2016,Mercedes-Benz,CLA 250,White,Automanual,FWD,33264,23460,20211
2017,Mercedes-Benz,E 300,Black,Automatic,AWD,8609,38760,20211
2007,BMW,335 i,Silver,Automatic,RWD,82997,12999,20211
2018,Subaru,WRX Base,Black,Manual,AWD,36105,20498,20211
2019,Mercedes-Benz,C 300,Black,Automatic,RWD,3738,34480,20211
2017,Mercedes-Benz,E 300,Black,Automatic,AWD,8609,38760,20211
2015,Audi,A3 1.8T Premium,White,Automanual,FWD,45664,16930,20211
2017,Dodge,Charger SE,Gray,Automatic,RWD,9797,23100,20211
2016,Dodge,Charger SRT Hellcat,Red,Automatic,RWD,39106,49260,20211
2017,BMW,320 i,Black,Automatic,RWD,7189,24700,20211
2015,Nissan,Altima 2.5 S,Red,CVT,FWD,44427,13610,20211
2018,Cadillac,XTS Luxury,Black,Automatic,FWD,35562,25730,20211
2017,Mazda,Mazda6 Sport,White,Automatic,FWD,10989,17440,20211
2016,Kia,Optima SXL Turbo,White,Automatic,FWD,30947,21290,20211
2017,Toyota,Corolla L,Blue,CVT,FWD,23165,16130,20211
2017,Mercedes-Benz,E 300,Brown,Automatic,RWD,23620,36980,20211
2016,Mercedes-Benz,E 400,Black,Automatic,RWD,61980,26980,20211
2018,Mercedes-Benz,C 300,White,Automatic,RWD,11503,34980,20211
2016,Mercedes-Benz,C 300,Gray,Automatic,RWD,23442,24480,20211
2017,Audi,A6 Premium Plus,Silver,Automatic,AWD,26516,35590,20211
2017,BMW,M3 Base,White,Other,Unknown,17902,54780,20211
2016,Audi,S3 Premium Plus,Gray,Automanual,AWD,50296,28030,20211
2016,BMW,750 i,Black,Automatic,RWD,29485,44230,20211
2017,Mazda,Mazda6 Sport,White,Automatic,FWD,10989,17440,20211
2018,Cadillac,XTS Luxury,Black,Automatic,FWD,35562,25730,20211
2017,BMW,530 i,Blue,Automatic,RWD,18240,34210,20211
2017,Honda,Accord Sport,Silver,CVT,FWD,35690,19900,20211
2016,BMW,740 i,Silver,Automatic,RWD,18128,38300,20211
2017,Dodge,Charger R/T,Black,Automatic,RWD,27406,26970,20211
2019,Honda,Clarity Plug-In Hybrid,Gray,CVT,FWD,3700,28070,20211
2016,Hyundai,Genesis 3.8,Gray,Automatic,RWD,20387,25340,20211
2017,BMW,320 i,Black,Automatic,RWD,7189,24700,20211
2019,BMW,740 i,Black,Automatic,RWD,19884,47950,20211
2018,Honda,Accord EX-L 2.0T,White,Automatic,FWD,8500,29340,20211
2018,Toyota,Camry LE,Blue,Automatic,FWD,11507,22590,20211
2018,Toyota,Camry L,Gray,Automatic,FWD,6640,20560,20211
2017,BMW,330e iPerformance,Silver,Automatic,RWD,25508,27106,20211
2014,Hyundai,Sonata GLS,Black,Automatic,FWD,168000,6509,20211
2015,Volkswagen,Jetta 1.8T Sport,Black,Automatic,FWD,65917,11300,20211
2016,Volkswagen,Jetta 1.4T S,Black,Automatic,FWD,21105,12200,20211
2016,Honda,Civic EX-T,Silver,CVT,FWD,44154,16381,20211
2017,Honda,Civic EX,Blue,CVT,FWD,47712,16438,20211
2016,Honda,Civic EX-L,White,CVT,FWD,28903,18300,20211
2014,BMW,320 i,Blue,Automatic,RWD,84000,12169,20211
2012,Chrysler,200 LX,White,Automatic,FWD,106679,5500,20211
2018,Honda,Civic EX,White,CVT,FWD,13000,19482,20211
2012,Honda,Civic LX,Silver,Automatic,FWD,36000,11500,20211
2014,BMW,320 i xDrive,Black,Automatic,AWD,40139,15995,20211
2016,Honda,Accord EX-L,White,CVT,FWD,37453,19494,20211
2018,Cadillac,ATS 2.0L Turbo,Black,Automatic,RWD,11868,24499,20211
2018,Toyota,Camry XSE,Gray,Automatic,FWD,21010,25599,20211
2013,Toyota,Camry SE,Gray,Automatic,FWD,102371,11999,20211
2016,Dodge,Dart SXT,White,Automatic,FWD,60478,11999,20211
2019,Chrysler,300 Limited,White,Automatic,RWD,19039,22999,20211
2014,Toyota,Corolla LE,Gray,CVT,FWD,49368,11999,20211
2019,Chevrolet,Impala Premier 2LZ,Gray,Automatic,FWD,21111,24277,20211
2016,BMW,528 i,Black,Automatic,RWD,26571,23998,20211
2018,Dodge,Charger R/T 392,Red,Automatic,RWD,12511,38299,20211
2016,Lexus,ES 300h Base,Gray,CVT,FWD,56417,25900,20211
2014,Toyota,Camry L,Gray,Automatic,FWD,24744,16000,20211
2017,Kia,Forte LX,Silver,Automatic,FWD,17058,13289,20211
2016,Lexus,IS 300 Base,White,Automatic,AWD,33196,25789,20211
2017,Dodge,Charger R/T,White,Automatic,RWD,24048,27489,20211
2016,BMW,328d Base,Silver,Automatic,RWD,55556,20888,20211
2017,Lexus,IS 200t Base,Silver,Automatic,RWD,11452,31000,20211
2015,Buick,Verano Convenience Group,Brown,Automatic,FWD,63054,11494,20211
2016,Volkswagen,Jetta 1.8T Sport,White,Automatic,FWD,34434,15000,20211
2017,Honda,Civic LX,Silver,CVT,FWD,39602,14981,20211
2015,Mercedes-Benz,CLA 250,Black,Automatic,FWD,72865,16981,20211
2017,BMW,M3 Base,Silver,Manual,RWD,28517,52293,20211
2004,Subaru,Impreza WRX Sti,Blue,Manual,AWD,98605,16998,20211
2015,Subaru,WRX STI Base,Blue,Manual,AWD,8899,31498,20211
2010,BMW,335 i xDrive,Blue,Automatic,AWD,65670,11250,20211
2016,Audi,S6 4.0T quattro Premium Plus,White,Automatic,AWD,97195,34888,20211
2016,Subaru,Legacy 2.5i,White,CVT,AWD,81491,13688,20211
2013,Audi,A4 2.0T Premium quattro,Gray,Automatic,AWD,85635,13698,20211
2011,Nissan,Sentra 2.0 S,Black,CVT,FWD,116646,6498,20211
2013,Volvo,S60 T5,White,Automatic,AWD,98552,11990,20211
2018,Lexus,GS 300 300,Blue,Automatic,RWD,3919,38777,20211
2019,Cadillac,XTS Luxury,Silver,Automatic,AWD,2663,39461,20211
2015,Honda,Accord Sport,White,CVT,FWD,111516,13977,20211
2012,Honda,Civic Hybrid W/NAVI&LEATHER,Green,CVT,FWD,41357,9888,20211
2018,Toyota,Camry XSE,Gray,Automatic,FWD,42905,24900,20211
2015,Volkswagen,Jetta 1.8T SE,Blue,Automatic,FWD,60412,11998,20211
2016,Hyundai,Genesis 3.8,Silver,Automatic,RWD,20554,23998,20211
2019,Mazda,Mazda3 FWD w/Select Package,Gray,Automatic,FWD,2274,21998,20211
2018,Hyundai,Sonata Limited 2.0T+,Gray,Automatic,FWD,21623,23998,20211
2018,Audi,A6 3.0T Sport,White,Automatic,AWD,10594,42900,20211
2015,Acura,TLX Tech,Gray,Automatic,FWD,26227,20999,20211
2018,Honda,Accord LX,White,CVT,FWD,6424,21481,20211
2018,Honda,Accord LX,White,CVT,FWD,30019,19981,20211
2009,Kia,Rio LX,Gold,Automatic,FWD,95164,4290,20211
2015,BMW,328d Base,Brown,Automatic,RWD,77144,13970,20211
2012,Chevrolet,Malibu 1LT,Gold,Automatic,FWD,156215,4510,20211
2015,Kia,Optima SX,Gray,Automatic,FWD,83043,15388,20211
2019,Honda,Accord Sport,Silver,CVT,FWD,3872,27100,20211
2017,Mazda,Mazda3 Touring,Silver,Automatic,FWD,57190,14290,20211
2018,Nissan,Maxima 3.5 SV,Black,CVT,FWD,26416,19800,20211
2016,INFINITI,Q50 3.0T Premium,White,Automatic,AWD,22070,24300,20211
2016,INFINITI,Q50 3.0T Premium,Gray,Automatic,RWD,26711,22300,20211
2016,Acura,RLX Sport Hybrid Advance Package,Black,Automatic,AWD,29226,30000,20211
2016,Mercedes-Benz,E 400 4MATIC,Other,Automatic,AWD,40578,29900,20211
2017,Honda,Civic EX,Silver,CVT,FWD,9636,20950,20211
2016,Chevrolet,Cruze LS Automatic,Black,Automatic,FWD,32125,12500,20211
2009,Mercedes-Benz,E 350,White,Automatic,RWD,165898,7391,20211
2016,Audi,A6 3.0T Prestige,White,Automatic,AWD,22118,32080,20211
2015,BMW,335 i,Black,Other,Unknown,34365,24980,20211
2017,Lincoln,MKZ Select,Blue,Automatic,FWD,21564,25730,20211
2014,Nissan,Altima 2.5 SV,Black,CVT,FWD,54333,14320,20211
2016,Mercedes-Benz,CLA 250,White,Automanual,FWD,35727,22800,20211
2017,Mercedes-Benz,C300 4MATIC,Blue,Automatic,AWD,11971,29040,20211
2017,Lincoln,MKZ Select,White,Automatic,FWD,19255,23670,20211
2015,Ford,Taurus SEL,Gray,Automatic,FWD,40435,17280,20211
2018,Dodge,Charger R/T,White,Automatic,RWD,32904,25460,20211
2017,Lincoln,MKZ Select,Brown,Automatic,FWD,26514,23670,20211
2011,Buick,Lucerne CX,Beige,Automatic,FWD,52402,11110,20211
2017,Dodge,Charger R/T,Black,Automatic,RWD,27406,26970,20211
2016,Cadillac,CTS Luxury Collection RWD,Blue,Automatic,RWD,30637,27240,20211
2014,Mercedes-Benz,E 350 Sport,White,Automatic,RWD,48985,22000,20211
2017,BMW,320 i,Black,Automatic,RWD,7189,24700,20211
2015,BMW,750 Li xDrive,Black,Automatic,AWD,38551,38780,20211
2014,Toyota,Corolla LE,Brown,CVT,FWD,66091,11750,20211
2014,BMW,535 i,Silver,Other,Unknown,41267,22450,20211
2017,Toyota,Corolla L,Blue,CVT,FWD,23165,16130,20211
2019,Genesis,G70 2.0T Advanced,Blue,Automatic,AWD,4096,34070,20211
2013,Volkswagen,Passat 2.0L TDI SEL Premium,White,Automatic,FWD,67253,13500,20211
2016,Mercedes-Benz,C 300 4MATIC,Gray,Automatic,AWD,39921,21800,20211
2016,Cadillac,CTS 2.0L Turbo Luxury,Gray,Automatic,AWD,42779,22500,20211
2016,Mercedes-Benz,CLA 250 4MATIC,White,Automatic,AWD,21071,23688,20211
2019,BMW,740 i,Black,Automatic,RWD,15784,47970,20211
2018,Chrysler,300 Limited,Black,Automatic,AWD,14000,22999,20211
2018,Honda,Accord Sport,White,CVT,FWD,16216,23988,20211
2016,Honda,Civic LX,Blue,CVT,FWD,54304,14588,20211
2016,Honda,Civic Touring,Silver,CVT,FWD,30033,18982,20211
2017,Subaru,Legacy 3.6R Limited,Red,CVT,AWD,6022,22584,20211
2011,Nissan,Sentra 2.0 S,Black,CVT,FWD,90791,7995,20211
2016,Ford,Fusion Titanium,Silver,Automatic,FWD,55388,14258,20211
2017,Ford,Fusion Hybrid SE,Silver,CVT,FWD,77515,10495,20211
2019,Honda,Accord LX 1.5T,Gray,CVT,FWD,3800,22960,20211
2018,Dodge,Charger R/T,White,Automatic,RWD,32904,25460,20211
2016,BMW,340 i,Gray,Automatic,RWD,17699,30690,20211
2012,Acura,TL Technology,Gray,Automatic,FWD,102981,12792,20211
2016,Audi,A6 3.0T Premium Plus,Brown,Automatic,AWD,12474,30991,20211
2016,Hyundai,Sonata Limited,Black,Automatic,FWD,17218,19998,20211
2016,BMW,528 i,White,Automatic,RWD,36751,23998,20211
2016,Acura,ILX,Silver,Automatic,FWD,14720,20998,20211
2017,Dodge,Charger R/T 392,Gray,Automatic,RWD,17905,35998,20211
2015,Volkswagen,CC 2.0T Sport,Blue,Automatic,FWD,46510,14998,20211
2016,Lexus,IS 200t Base,Black,Automatic,RWD,28032,20988,20211
2016,Mazda,Mazda3 i Touring,Gray,Automatic,FWD,27754,15988,20211
2016,Hyundai,Sonata Limited,Silver,Automatic,FWD,20612,18800,20211
2018,Toyota,Corolla LE,Black,CVT,FWD,52998,14501,20211
2017,Toyota,Camry SE,Silver,Automatic,FWD,13887,19881,20211
2018,Ford,Fusion Sport,Black,Automatic,AWD,9962,26720,20211
2017,Toyota,Camry Hybrid HYBRID SE SEDAN,White,CVT,FWD,43056,23591,20211
2016,Mercedes-Benz,S 550 4MATIC,Blue,Automatic,AWD,31408,54950,20211
2014,Honda,Accord EX-L,White,CVT,FWD,55914,16995,20211
2018,Audi,RS 3 2.5T,Black,Automatic,AWD,4455,65000,20211
2010,Toyota,Corolla LE,Silver,Automatic,FWD,155000,5990,20211
2016,Kia,Optima Hybrid,Black,Automatic,FWD,27209,19995,20211
2018,Audi,A3 2.0T Premium,White,Automatic,FWD,11351,32995,20211
2016,Audi,A4 2.0T Premium,Gray,CVT,FWD,39890,17888,20211
2017,Ford,Fusion Hybrid SE,Black,CVT,FWD,25472,17998,20211
2013,BMW,740 i,Silver,Automatic,RWD,39845,24995,20211
2011,Audi,A8 4.2 quattro,Gray,Automatic,AWD,88898,18995,20211
2016,Jaguar,XJ XJ R-Sport,White,Automatic,RWD,40756,32800,20211
2016,Mercedes-Benz,S 550,Black,Automatic,RWD,39209,48800,20211
2017,Chrysler,300C Base,Black,Automatic,RWD,37491,21988,20211
2018,Chrysler,300 Limited,Red,Automatic,RWD,40527,20288,20211
2016,Lexus,ES 350 Base,Silver,Automatic,FWD,31255,25235,20211
2016,Acura,TLX V6,Gray,Automatic,FWD,37320,21516,20211
2013,Hyundai,Sonata GLS,Blue,Automatic,FWD,84854,8895,20211
2018,Mercedes-Benz,E 300,White,Automatic,RWD,5971,44777,20211
2016,Mercedes-Benz,C 300,White,Automatic,RWD,20101,26898,20211
2010,Buick,LaCrosse CXS,Brown,Automatic,FWD,82277,9996,20211
2016,Mercedes-Benz,CLA 250,Black,Automatic,FWD,32620,20894,20211
2016,Mercedes-Benz,E 350,Blue,Automatic,RWD,36807,27795,20211
2018,Mercedes-Benz,CLA 250 Base,White,Automanual,FWD,4032,30891,20211
2017,Acura,ILX,White,Automanual,FWD,17102,19455,20211
2003,Jaguar,S-Type R Supercharged,Silver,Automatic,RWD,91201,8985,20211
2012,Hyundai,Sonata GLS,Gray,Automatic,FWD,151020,6991,20211
2016,Buick,Verano Leather Group,White,Automatic,FWD,37631,13249,20211
2017,Hyundai,Elantra SE,White,Automatic,FWD,73670,10349,20211
2016,BMW,328 i,Black,Automatic,RWD,18056,22892,20211
2016,BMW,535 i,Silver,Automatic,RWD,16842,33481,20211
2016,Maserati,Quattroporte S,White,Automatic,RWD,12865,45888,20211
2016,Kia,Optima LX,Gray,Automatic,FWD,50357,14788,20211
2017,Toyota,Camry SE,Gray,Automatic,FWD,31812,17995,20211
2009,Mercedes-Benz,E 350,Other,Automatic,RWD,156393,5999,20211
2007,Mercedes-Benz,S 550,Silver,Automatic,RWD,49338,19999,20211
2017,Volkswagen,Jetta 1.4T SE,White,Automatic,FWD,35155,14499,20211
2016,Toyota,Corolla S Plus,White,Other,Unknown,29558,15799,20211
2018,Volvo,S90 T6 Inscription,Silver,Automatic,AWD,32090,34300,20211
2014,Audi,S6 4.0T Prestige quattro,Blue,Automatic,AWD,55619,33300,20211
2016,Lexus,IS 200t Base,Red,Automatic,RWD,22269,22800,20211
2016,Lexus,GS 350,Black,Automatic,RWD,23897,33900,20211
2016,Kia,Cadenza,Black,Automatic,FWD,29003,17000,20211
2017,Dodge,Charger R/T,Black,Automatic,RWD,17741,29700,20211
2015,Honda,Accord Touring,Silver,Automatic,FWD,37341,20324,20211
2016,Toyota,Camry SE,Gray,Automatic,FWD,29340,16788,20211
2016,BMW,550 i,Gray,Automatic,RWD,20401,37795,20211
2016,BMW,340 i,Silver,Automatic,RWD,29447,30985,20211
2017,BMW,640 i,Black,Automatic,RWD,20237,42798,20211
2013,BMW,528 i,Silver,Automatic,RWD,63050,14998,20211
2018,Toyota,Camry LE,Gray,Automatic,FWD,22430,22998,20211
2018,Toyota,Camry SE,White,CVT,FWD,7204,28999,20211
2016,Lexus,ES 300h Base,Blue,CVT,FWD,16209,30599,20211
2016,Lexus,ES 300h Base,Gray,CVT,FWD,29379,28999,20211
2019,Toyota,Avalon XSE,Silver,Automatic,FWD,19298,31295,20211
2015,BMW,328 i,Black,Automatic,RWD,20231,22695,20211
2016,BMW,328 i,Black,Automatic,RWD,21098,22695,20211
2019,Audi,A6 55 Premium Plus,Black,Automatic,AWD,10603,50992,20211
2016,Honda,Civic LX,Silver,CVT,FWD,23524,16483,20211
2016,Acura,RLX with Technology Package,Other,Automatic,FWD,35070,27099,20211
2016,Honda,Accord Sport,Red,CVT,FWD,32544,18250,20211
2015,Subaru,WRX Limited,Gray,CVT,AWD,57346,23998,20211
2017,Nissan,Altima 2.5 S,Gray,CVT,FWD,17891,16998,20211
2017,Nissan,Altima 3.5 SL,Silver,CVT,FWD,22461,18495,20211
2016,Honda,Accord Sport,White,CVT,FWD,41560,18691,20211
2018,Honda,Accord Sport,Black,CVT,FWD,21396,24991,20211
2016,Chevrolet,Malibu 1LT,Beige,Automatic,FWD,35973,16290,20211
2018,Cadillac,XTS Luxury,Silver,Automatic,FWD,33550,24818,20211
2015,Volkswagen,Jetta TDI S,Gray,Manual,FWD,13424,14300,20211
2016,Dodge,Charger R/T,Silver,Automatic,RWD,41263,25000,20211
2012,Acura,TSX Technology,Black,Automatic,FWD,91812,13488,20211
2016,Acura,TLX FWD,White,Automatic,FWD,43335,19754,20211
2018,Chevrolet,Malibu LT,Silver,Automatic,FWD,20523,16999,20211
2016,Toyota,Corolla S,Red,CVT,FWD,22874,14999,20211
2011,Toyota,Corolla LE,Beige,Automatic,FWD,60256,9900,20211
2015,INFINITI,Q50 Hybrid Sport,Gray,Automatic,RWD,25689,27995,20211
2016,INFINITI,Q70 3.7,Black,Automatic,RWD,26507,27995,20211
2016,Honda,Civic EX,Black,CVT,FWD,53628,15900,20211
2018,Toyota,Camry SE,Silver,Automatic,FWD,66537,22991,20211
2016,Honda,Accord Sport,Black,CVT,FWD,62722,16888,20211
2016,Mercedes-Benz,C 300,Black,Automatic,RWD,35573,23982,20211
2011,Audi,S6 5.2 Prestige quattro,Silver,Automatic,AWD,94089,16995,20211
2007,BMW,335 i,Silver,Automatic,RWD,105679,8995,20211
2011,Mercedes-Benz,C 63 AMG,Black,Automatic,RWD,104500,20995,20211
2018,Kia,Optima LX,Silver,Automatic,FWD,22639,16490,20211
2016,Volvo,S60 T5 Drive-E Premier,White,Automatic,FWD,38356,18888,20211
2016,Chrysler,300C Base,Silver,Automatic,RWD,31555,18999,20211
2015,BMW,740 Li,Black,Automatic,RWD,37200,29100,20211
2015,Mercedes-Benz,AMG C 63,Silver,Automatic,RWD,68808,35500,20211
2014,Maserati,Ghibli S Q4,Red,Automatic,AWD,6138,34500,20211
2018,BMW,530 i xDrive,Black,Automatic,AWD,7137,45500,20211
2015,Dodge,Charger R/T,Black,Automatic,RWD,61012,24888,20211
2016,Honda,Accord EX,White,CVT,FWD,70737,18888,20211
2015,BMW,750 i,Black,Automatic,RWD,44108,28998,20211
2016,Mercedes-Benz,C 300,Black,Automatic,RWD,23350,24998,20211
2017,BMW,320 i,Black,Automatic,RWD,46796,19998,20211
2016,Ford,Fusion Energi SE Luxury,Silver,CVT,FWD,69026,14998,20211
2015,Ford,Fusion SE,Gray,Automatic,FWD,35697,14492,20211
2017,Ford,Fusion SE,Black,Automatic,FWD,16349,19391,20211
2017,Toyota,Corolla LE,Silver,CVT,FWD,44315,15998,20211
2017,Toyota,Corolla LE,Silver,CVT,FWD,42071,14988,20211
2018,Toyota,Camry 4-DOOR LE SEDAN,White,Automatic,FWD,40065,17988,20211
2013,Subaru,Impreza WRX Premium,Orange,Manual,AWD,23689,21988,20211
2014,Mazda,Mazda6 i Grand Touring,Red,Automatic,FWD,58131,16000,20211
2017,Honda,Accord LX,Red,CVT,FWD,34470,17500,20211
2016,Honda,Civic Touring,Black,CVT,FWD,31270,19500,20211
2018,Mercedes-Benz,E 300,Other,Automatic,RWD,27426,38147,20211
2018,Ford,Fusion Hybrid SE,White,CVT,FWD,36927,15572,20211
2018,Ford,Fusion Hybrid SE,Silver,CVT,FWD,38381,15472,20211
2018,Ford,Fusion Hybrid SE,Gray,CVT,FWD,30132,15872,20211
2018,Toyota,Camry LE,Silver,Automatic,FWD,13082,21592,20211
2017,Toyota,Corolla LE,Black,CVT,FWD,60385,14991,20211
2018,Honda,Accord LX,White,CVT,FWD,6855,21305,20211
2018,Honda,Accord Sport,White,CVT,FWD,7007,24100,20211
2011,Toyota,Camry LE,White,Automatic,FWD,73524,9220,20211
2015,BMW,320 i,Black,Automatic,RWD,37173,18760,20211
2008,Honda,Civic Hybrid,Blue,CVT,FWD,117577,6425,20211
